"id","book","episode_title","length","listeners","release"
0,NA,"Ískisur 0. kafli (formáli): LOLcats",23,236,2017-02-23
1,1,"Ískisur 1. kafli: Keyboard Cat",51,113,2017-03-02
2,1,"Ískisur 2. kafli: Grumpy Cat",48,65,2017-03-09
3,1,"Ískisur 3. kafli: Inbread Cats",56,79,2017-03-16
4,1,"Ískisur 4. kafli - Coby the Cat",55,61,2017-03-23
5,1,"Ískisur 5. kafli – Gúrkuhræğsla katta",48,46,2017-03-30
6,1,"Ískisur 6. Kafli - Maneki-neko",50,68,2017-04-06
7,1,"Ískisur 7. Kafli - Abelóna og akfeitu börnin",52,63,2017-04-13
8,1,"Ískisur 8. Kafli - Jocelyn Wildenstein",56,39,2017-04-20
9,1,"Ískisur 9. kafli - In Memoriam Muri",51,33,2017-04-27
10,1,"Ískisur 10. Kafli - Tvívíğar kattargildrur",49,48,2017-05-04
11,1,"Ískisur 11. kafli - Toki Nantucket aka Wes Andersen kisi",49,88,2017-05-10
12,1,"Ískisur 12. kafli - Bonsai Kitten 4 Minecraft",49,50,2017-05-18
13,1,"Ískisur 13. kafli - Seductive cat is seductive",30,33,2017-05-25
14,1,"Ískisur 14. kafli - Buddha (Fat) Cat",42,36,2017-06-01
15,1,"Ískisur 15. kafli - Maru Cat",35,37,2017-06-08
16,2,"Ískisur 16 - Bók 2 - kaflar 1-2: Pudge the cat",51,52,2017-06-21
17,2,"Ískisur 17 - Bók 2 - kaflar 3-4: Shironeko aka Coachella Cat",49,40,2017-06-29
18,2,"Ískisur 18 - Bók 2 - kaflar 5-6: Cher Man Mjá",51,38,2017-07-06
19,2,"Ískisur 19 - Bók 2 - Kaflar 7-8: Binni kisi",50,48,2017-07-13
20,2,"Ískisur 20 - Bók 2 - Kaflar 9-10: ISISkisa",47,43,2017-07-20
21,2,"Ískisur 21 - Bók 2 - Kaflar 11-12: Afmæliskisur",59,52,2017-07-27
22,2,"Ískisur 22 - Bók 2 - Kafli 13-Samantekt: Mr. Bigglesworth Blofeldsson",47,38,2017-08-03
23,3,"Ískisur 23 - Bók 3 - Kaflar 1-2 - Nærbuxnakisar",45,45,2017-08-10
24,3,"Ískisur 24 - Bók 3 - Kaflar 3-4 - PPAP Cat Remix",54,38,2017-08-18
25,3,"Ískisur 25 - Bók 3 - Kaflar 5-6 - Kettir í beisli",49,34,2017-08-25
26,3,"Ískisur 26 - Bók 3 - Kaflar 7-8 - June the Kitty",48,43,2017-08-31
27,3,"Ískisur 27 - Bók 3 - Kaflar 9-10 - Domino",53,28,2017-09-13
28,3,"Ískisur 28 - Bók 3 - Kaflar 11-12 - Make Kittens Great Again",55,27,2017-09-21
29,3,"Ískisur 29 - Bók 3 - Kaflar 13-14 - The Citizens Advertising Takeover Service (C.A.T.S)",61,28,2017-09-28
30,4,"Ískisur 30 - Bók 4 - Kaflar 1-2 - Kisuvín",49,20,2017-10-06
31,4,"Ískisur 31 - Bók 4 - Kaflar 3-4 - Kettlingurinn Graham",44,26,2017-10-17
32,4,"Ískisur 32 - bók 4 - kaflar 5-6 - H4CK3R C47",52,24,2017-10-24
33,4,"Ískisur 33 - bók 4 - kaflar 7-8 - Garfi",48,37,2017-11-01
34,4,"Ískisur 34 - kaflar 9-10 - Keanu",41,28,2017-11-07
35,4,"Ískisur 35 - Kaflar 11-12 - Risakisa",40,19,2017-11-27
36,4,"Ískisur 36 - Kaflar 13-14 - A Street Cat Named Bob",40,15,2017-12-20
37,5,"Ískisur 37 - Bók 5 - Kaflar 1-2 - Spottaği Púttí",49,28,2018-01-20
38,5,"Ískisur 38 - Bók 5 - Kaflar 3-4 - Smoothie & Milkshake",46,22,2018-03-07
39,5,"Ískisur 39 - Bók 5 - Kaflar 5-6 - Gaupa",52,20,2018-03-20
40,5,"Ískisur 40 - Bók 5 - Kaflar 7-8 - Tvíhliğa kettir: Narnia De La Grace & Venus",45,18,2018-03-28
41,5,"Ískisur 41 - Bók 5 - Kaflar 9-10 - Kötturinn Hundur",55,16,2018-04-18
42,5,"Ískisur 42 - Bók 5 - Kaflar 11-14 - Handicats: Rexie & Moggy",66,21,2018-04-24
43,6,"Ískisur 43 - Bók 6 - Kaflar 1-3 - Socks, First Cat of the United States",55,33,2018-05-15
44,6,"Ískisur 45 - Bók 6 - Kaflar 7-9 - Mjássíni",52,13,2018-10-23
45,6,"Ískisur 45 - Bók 6 - Kaflar 10-12 - Kisuhendur",34,16,2018-11-01
