name,year,count
A,1982,1
AAsa,1977,1
Aadrian,1988,1
Aafke,1968,1
Aage,1922,1
Aage,1926,1
Aage,1928,1
Aage,1934,1
Aage,1955,1
Aagot,1935,1
Aagot,1945,1
Aagot,1947,1
Aagot,1957,1
Aake,1943,1
Aake,1957,1
Aaltje,1964,1
Aaltje,1968,1
Aaron,1930,1
Aaron,1966,1
Aaron,1971,1
Aaron,1973,1
Aaron,1975,1
Aaron,1976,1
Aaron,1979,1
Aaron,1982,3
Aaron,1984,1
Aaron,1988,1
Aaron,1989,2
Aaron,1990,1
Aaron,1995,1
Aaron,1998,2
Aaron,1999,1
Aarstein,1971,1
Aasa,1962,1
Aasa,1969,2
Aasa,1970,2
Aasa,1971,2
Aasa,1972,3
Aasa,1973,2
Aasa,1974,4
Aasa,1977,2
Aasa,1980,2
Aase,1919,1
Aase,1925,1
Aase,1926,1
Aase,1932,1
Aase,1937,1
Aase,1954,1
Aase,1956,1
Aase,1970,1
Aase,1971,1
Aase,1972,1
Aaslaug,1982,1
Aasne,1975,1
Aazis,1998,1
Abba,1986,1
Abd,1951,1
Abd,1953,1
Abde,1973,1
Abdel,1967,1
Abdel,1972,1
Abdelaziz,1964,1
Abdelaziz,1965,1
Abdelkader,1980,1
Abdellah,1959,1
Abdellatif,1973,1
Abdelrahim,1966,1
Abderrahim,1967,1
Abderrahim,1969,1
Abderraouf,1966,1
Abderrazak,1954,1
Abdesselam,1939,1
Abdilaziz,1999,1
Abdou,1981,1
Abdul,1982,1
Abdulgani,2000,1
Abdullah,1976,1
Abdusamet,1971,1
Abel,1957,1
Abel,1996,1
Aber,1987,1
Abhishek,2001,1
Abigael,1974,1
Abigail,1960,1
Abigail,1976,1
Abigail,1991,1
Abigail,1993,1
Abigail,2000,1
Abra,1982,1
Abraham,1947,1
Abraham,1962,1
Abraham,1966,1
Abraham,1977,1
Abraham,1987,1
Abraham,1993,1
Abraham,1994,1
Abraham,1998,1
Absalon,1937,1
Absalon,1945,1
Absalon,1986,1
Absalon,1989,1
Abu,1970,1
Achala,1967,1
Achilleas,1969,1
Ada,1897,1
Ada,1936,1
Ada,1977,1
Ada,1981,1
Ada,2000,1
Adam,1921,1
Adam,1924,1
Adam,1926,1
Adam,1946,1
Adam,1947,1
Adam,1949,1
Adam,1950,1
Adam,1954,2
Adam,1955,1
Adam,1956,2
Adam,1958,1
Adam,1959,2
Adam,1960,2
Adam,1961,1
Adam,1962,1
Adam,1965,2
Adam,1966,1
Adam,1967,2
Adam,1968,7
Adam,1970,5
Adam,1971,6
Adam,1972,4
Adam,1973,2
Adam,1975,4
Adam,1977,1
Adam,1978,3
Adam,1979,3
Adam,1980,3
Adam,1981,1
Adam,1982,1
Adam,1984,3
Adam,1985,5
Adam,1986,4
Adam,1987,2
Adam,1988,6
Adam,1989,8
Adam,1990,3
Adam,1991,6
Adam,1992,5
Adam,1993,1
Adam,1994,7
Adam,1995,3
Adam,1996,8
Adam,1997,4
Adam,1998,8
Adam,1999,5
Adam,2000,12
Adam,2001,3
Adama,1991,1
Adda,1926,1
Adda,1928,1
Adda,1933,1
Adda,1937,2
Adda,1942,1
Adda,1949,1
Adda,1950,1
Adda,1954,1
Adda,1956,2
Adda,1960,1
Adda,1961,1
Adda,1962,2
Adda,1964,1
Adda,1967,2
Adda,1968,1
Adda,1972,1
Adda,1973,1
Adda,1974,1
Adda,1975,1
Adda,1979,1
Adda,1983,1
Adda,1984,2
Adda,1986,2
Adda,1987,2
Adda,1988,1
Adda,1991,1
Adda,1994,1
Adda,1995,2
Adda,1996,1
Adda,1998,1
Adda,2000,3
Adda,2001,1
Addbjörg,1969,1
Addý,1935,1
Addý,1978,1
Adel,1965,1
Adel,1969,1
Adela,1963,1
Adela,1968,1
Adela,1969,1
Adela,1991,1
Adelaida,1973,1
Adele,1969,1
Adele,1975,1
Adelheid,1929,1
Adelheid,1960,1
Adelheid,1961,1
Adelina,1989,1
Adelina,1992,2
Adelina,1997,1
Adeline,1933,1
Adeline,1972,1
Adeline,1983,1
Adem,1944,1
Adem,1973,1
Aden,2001,1
Aderito,1965,1
Adil,1972,1
Adine,1965,1
Adirek,1976,1
Adisa,1998,1
Adnan,2000,1
Adolf,1912,1
Adolf,1918,1
Adolf,1920,2
Adolf,1922,2
Adolf,1927,1
Adolf,1928,1
Adolf,1934,2
Adolf,1935,2
Adolf,1939,1
Adolf,1942,1
Adolf,1944,1
Adolf,1951,1
Adolf,1952,1
Adolf,1954,2
Adolf,1955,2
Adolf,1959,2
Adolf,1960,1
Adolf,1962,2
Adolf,1963,2
Adolf,1964,1
Adolf,1965,2
Adolf,1966,1
Adolf,1968,1
Adolf,1971,2
Adolf,1973,1
Adolf,1975,3
Adolf,1978,2
Adolf,1980,1
Adolf,1982,1
Adolf,1983,2
Adolf,1985,1
Adolf,1986,1
Adolf,1989,1
Adolf,1993,2
Adolf,1997,1
Adolph,1964,1
Adomas,1966,1
Adriaan,1944,1
Adriaan,1993,1
Adrian,1954,1
Adrian,1956,1
Adrian,1957,1
Adrian,1959,2
Adrian,1962,1
Adrian,1964,1
Adrian,1966,1
Adrian,1967,1
Adrian,1968,2
Adrian,1970,1
Adrian,1971,3
Adrian,1980,1
Adrian,1984,3
Adrian,1986,1
Adrian,1987,1
Adrian,1990,1
Adrian,1993,1
Adrian,1995,2
Adrian,1996,3
Adrian,1997,1
Adrian,1998,2
Adrian,1999,1
Adrian,2000,1
Adriana,1963,1
Adriana,1966,1
Adriana,1967,1
Adriana,1968,1
Adriana,1972,2
Adriana,1974,1
Adriana,1979,1
Adriana,1980,1
Adriana,1981,1
Adriana,1984,1
Adriana,1995,1
Adriana,2000,3
Adrianne,1956,1
Adriano,1975,1
Adrianus,1965,1
Adrianus,1971,1
Adrianus,1977,1
Adriel,1993,1
Adrien,1980,1
Adrien,1995,1
Adrienne,1971,1
Adrían,1998,2
Adrían,2001,1
Advait,2000,1
Adélaide,1997,1
Adíb,2001,1
Adólf,1930,1
Adólf,1942,1
Adólf,1991,1
Aegir,1966,1
Aeshatu,1986,1
Aet,1979,1
Aferdita,1984,1
Afife,1976,1
Afomia,1997,1
Afrim,1976,1
Afrim,1979,1
Agata,1965,1
Agata,1971,1
Agata,1973,1
Agata,1974,1
Agata,1978,3
Agata,1990,1
Agata,1998,2
Agatha,1928,1
Agatha,1933,1
Agatha,1935,1
Agatha,1947,1
Agatha,1953,1
Agatha,1957,1
Agatha,1960,1
Agatha,1984,1
Agatha,1985,1
Agatha,1994,1
Agatha,1998,2
Agathe,1993,1
Agga,1958,1
Agga,1974,1
Agim,1969,1
Agim,1974,1
Agim,1976,1
Agim,1978,1
Agim,1980,1
Agim,1988,1
Agita,1973,1
