name,year,count
+ivind,1978,1
-Or,1963,1
A,1895,1
A,1907,3
A,1908,2
A,1910,1
A,1911,1
A,1912,1
A,1914,1
A,1916,4
A,1917,2
A,1918,2
A,1919,8
A,1920,8
A,1921,6
A,1922,7
A,1923,9
A,1924,5
A,1925,8
A,1926,15
A,1927,12
A,1928,10
A,1929,14
A,1930,16
A,1931,14
A,1932,6
A,1933,10
A,1934,7
A,1935,3
A,1936,6
A,1937,8
A,1938,6
A,1939,11
A,1940,7
A,1941,10
A,1942,12
A,1943,13
A,1944,23
A,1945,18
A,1946,22
A,1947,22
A,1948,16
A,1949,19
A,1950,23
A,1951,12
A,1952,20
A,1953,24
A,1954,24
A,1955,12
A,1956,13
A,1957,15
A,1958,18
A,1959,15
A,1960,19
A,1961,25
A,1962,19
A,1963,15
A,1964,12
A,1965,13
A,1966,15
A,1967,12
A,1968,16
A,1969,10
A,1970,12
A,1971,8
A,1972,5
A,1973,3
A,1974,5
A,1975,4
A,1976,3
A,1977,3
A,1978,5
A,1979,4
A,1981,3
A,1982,1
A,1983,1
A,1984,2
A,1985,11
A,1986,3
A,1987,2
A,1988,2
A,1989,2
A,1990,1
A,1991,4
A,1992,4
A,1993,2
A,1994,3
A,1995,1
A,1996,1
A,1997,3
A,1998,5
A,1999,2
A,2000,1
A,2001,1
A.,1947,1
A.,1948,1
A.,1977,1
A.,1981,1
A.,1988,1
A.,1994,1
A.,1996,2
Aagaard,1961,1
Aagaard,1967,1
Aagaard,1968,1
Aagaard,1980,1
Aage,1931,1
Aage,1932,1
Aage,1935,1
Aage,1938,1
Aage,1954,1
Aage,1966,1
Aage,1967,1
Aage,1970,1
Aage,1978,1
Aage,1983,1
Aage,1986,1
Aage,1987,1
Aage,1988,1
Aage,1998,1
Aagje,1964,1
Aagot,1964,1
Aagot,1988,1
Aagot,1992,1
Aake,1954,1
Aake,1978,1
Aaling,1973,1
Aalling,1938,1
Aamir,1969,1
Aaron,1971,1
Aaron,1980,1
Aaron,1982,1
Aaron,1997,2
Aaron,1998,1
Aaron,1999,1
Aarre,1974,1
Aarstein,1944,1
Aart,1957,1
Aasa,1968,1
Aasa,1970,1
Aase,1980,1
Aaserud,2000,1
Aasgaard,1976,1
Aastrup,1963,1
Aazam,1995,1
Aba,1979,1
Abatepaulo,1964,1
Abaz,1993,1
Abd,1973,1
Abdel,1984,1
Abdelaziz,1954,1
Abdenbi,1961,1
Abderrazak,1963,1
Abdoulie,1976,1
Abdullah,2000,1
Abel,1963,1
Abel,1986,1
Abel,1987,1
Abel,2000,1
Abella,1960,1
Abellar,1980,1
Abiba,1999,1
Abid,1958,1
Abigael,1961,1
Abigail,1987,1
Abil,1982,1
Abokhaevich,1958,1
Abokhai,1933,1
Abou,1972,1
Abraham,1955,1
Abraham,1968,1
Abraham,1972,1
Abraham,1981,1
Abraham,1985,1
Abraham,1991,1
Abraham,1992,1
Abrequino,1973,1
Abwao,1977,1
Acero,1954,1
Ada,1931,1
Ada,1962,1
Ada,1982,1
Ada,2000,1
Adalheidur,1957,1
Adaly,1997,1
Adam,1945,1
Adam,1958,1
Adam,1959,1
Adam,1965,1
Adam,1969,1
Adam,1970,1
Adam,1972,5
Adam,1973,2
Adam,1975,2
Adam,1976,3
Adam,1978,2
Adam,1979,1
Adam,1982,1
Adam,1984,1
Adam,1985,1
Adam,1986,2
Adam,1989,1
Adam,1994,1
Adam,1995,2
Adam,1996,1
Adam,1997,2
Adam,1998,1
Adam,1999,2
Adam,2000,2
Adams,1979,1
Adaryll,1973,1
Adda,1938,1
Adda,1942,1
Adda,1948,1
Adda,1949,1
Adda,1950,1
Adda,1954,1
Adda,1958,1
Adda,1961,1
Adda,1967,2
Adda,1968,1
Adda,1973,1
Adda,1977,1
Adda,1985,2
Adda,1986,1
Adda,1987,2
Adda,1992,1
Adda,1993,1
Adda,1994,1
Adda,1995,1
Adda,1996,3
Adda,1998,1
Adda,2000,1
Adda,2001,1
Addi,1973,1
Addi,1988,1
Addy,1977,1
Addý,2000,1
Adel,1975,1
Adela,1955,1
Adela,1979,1
